title,company_name,company_location,posted_duration,jd,salary
CAD Drafter,Actalent,"Mansfield, MA",1 hour ago,"ENTRY LEVEL!Applicants must be able to work on site Monday-Friday in Mansfield, MA. Hours are 7:30am-4:00pm.Great opportunity to get into the drafting/design industry! CAD Drafters will get 100% on the job training for the first 1-2 weeks. After the training period, the CAD Drafter will be put on a team lead by a QC Specialist, and will be responsible for doing AutoCAD or MicroStation drafting work!Job Responsibilities & Requirements:High School diploma or completed GEDExperience using CAD to some extent, or interest in learningDesire to work in a drafting role long-termOpen to learning new softwareAbility to work in a fast-paced environmentAssociate's Degree or certificate in CAD is a bonusExperience with ESRI ArcGIS is a bonusAbout ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.",Not provided
LPC (Remote),WorkatHome-JobBoard,"Topeka, KS",6 hours ago,"Remote Licensed Professional Counselor (LPC)Wage: Between $95-$122 an hourAre you a Licensed Professional Counselor looking to launch a private practice, or grow your existing practice? Headway can help you earn more through insurance!Headway supports thousands of mental health clinicians across the United States in our mission to rewire the mental healthcare system for access and affordability. We equip mental health practitioners with the tools and resources they need to run a flourishing private practice.Mental health clinicians use Headway in a number of ways, ranging from conducting psychotherapy sessions with patients to providing and overseeing medication management. Whether you're new to private practice or already have an established practice of your own, we're excited to support you in reaching your goals!By Joining The Headway Community, We'll Help YouAccept insurance hassle-free by credentialing you with the nation's largest networks and handling the billing and admin paperwork for you.Maintain a flexible schedule by deciding how many clients you see through Headway, so that you can set the hours that work for you.Grow your caseload by providing marketing support and patient referrals.We'll also support your patients byProviding customized support to clinicians and patients in order to streamline the process of both seeking and providing care.Verifying client insurance benefits instantly and automatically, so that access to care is never delayed, and you can see your patients with confidence.And we do thiscompletely free of charge to you!Headways is a flexible service, meaning your hours are yours to set, and it's up to you whether you see your patients in-person or remotely via telehealth while working from home.We accept the following licenses on a state by state basis:LPCLPCCLCPCLCPCSLPCC-SReady to get started?We Are Excited To Begin Helping You If You Are a Fully-licensed Professional Counselor At a Master's Level Or Above WithA valid NPI numberMalpractice insurancePlease note, at this time, we are unable to service mental health professionals that are not fully licensed. Your application will be rejected until you obtain a valid license.Not sure if you're qualified to work with us? Send in your application and our team will do our best to help.",Not provided
PMO Coordinator,GreySource,"Maplewood, MN",6 hours ago,"PMO CoordinatorLocation: Hybrid. Requires 20% (1 day/week) or more onsite in Maplewood, MN12+ Months ContractMust have experience with data visualization and data reporting using powerBI.The PMO Project Coordinator is organized, self-motivated, eager to learn, capable of diligently carrying out routine procedures, and resourcefully innovating reports, documentation, training, and process and tool improvements.Key responsibilities and skills essential to get the job done:Build governance slide decks for routine meetings with leadership; must have keen attention to detail and take pride in delivering a well-organized and polished deck for executive viewingPerform compliance and data checks; must be able to follow written procedures, expertly utilize formulas in Excel, navigate PowerBI reports and search JIRA to find informationCommunicate with stakeholders to inform, ask, manage change or get compliance; must be able to communicate effectively both written and orally to support project managersWrite documentation and training on the process and tools to promote best practices; must be able to write instructions that are readable and easy to get people to followConduct training for stakeholders to reduce quality issues and increase compliance; must be able to listen to and escalate concerns, resolve problems, and achieve governance adherencePost-knowledge-sharing content on a knowledge-sharing reference site; must have experience with Microsoft Office Suite and SharePoint or equivalent software toolsCreate data visualization reports by gathering requirements, defining, designing, and building the reports in PowerBI; must have experience or the technical aptitude to build reportsIdentify areas of improvement; must have a continuous improvement mindsetRun internal projects for the PMO; must have knowledge of project management and SDLC methodologies to maintain project documentation for scope, schedule, budget, and risksPrepare progress reports, schedule meetings, and draft agendas; must be organizedFacilitate team meetings, capture action items in JIRA, navigate backlog grooming, track work progress, and conduct follow-ups; must have experience on teamsRequirements:Bachelor’s degree in Management Information Systems (MIS) or a related IT field2+ years work experience as an IT system analyst, business analyst, data analyst, quality analyst, technical analyst, project manager, coordinator, or similar PMO or lead-type roleMust have a professional demeanor and strong work ethicMust have keen attention to detail, communication, interpersonal and organizational skillsMust have strong technical aptitude to work in all Microsoft Apps, JIRA and PowerBIMust have problem-solving ability, initiative, and a continuous improvement mindsetProject Coordination experience is a plusCandidates with exposure to JIRA and PowerBI will be considered firstPowered by JazzHRHl1y3qyiFU",Not provided
HR Administrative Assistant,Tennessee Board of Regents (TBR),"Jackson, TN",7 hours ago,"Title:HR Administrative AssistantInstitution:Jackson State Community CollegeJob SummaryThis position provides administrative support to the Department of Human Resources. Including but not limited to; scheduling rooms, processing travel claims, coordinating events, maintaining the HR website, maintaining the departmental budget, and drafting correspondence. Serves as first point of contact for Human resources within the Jackson State Community College, providing customer service and answering questions for Jackson State Community College employees.Job DutiesRecruitment and Hiring Assist as needed with preparation and/or conducting new hire orientations for the Jackson State Community College. Conduct Banner Processing for payroll and HR records for new employees, establish new employee personnel files, update organization charts, and phone list/directory maintenance. Employee Onboarding and Records Maintenance Provides record and file management by monitoring and auditing the personnel recordkeeping system for JSCC employees, checking forms for accuracy and compliance. Assures compliance of stored information to security standards of applicable laws and regulations and TBR/JSCC Guidelines and Policies. Establishes new filing system or revises existing systems as necessary. Coordinate special projects coordinated by the Office of Human Resources including but not limited to the bi-annual service award program, professional development for employees in various departments, and assists with the annual benefits fair. Provide assistance as needed with the preparation of materials for meetings hosted by the department. - (Essential)Other duties as assigned - (Marginal)Minimum QualificationsAssociate degree from an accredited institutionMinimum of two years’ experience in an office setting; preferably Human ResourcesDemonstrated experience in overall office management skills;Ability to successfully organize and manage multiple tasks simultaneously;Demonstrated ability to pay close attention to detail with routine tasks and interruptions;Demonstrated knowledge of MS Office Suite, including Excel and PowerPoint;Preferred QualificationsBachelor’s degree from an accredited institutionKnowledge of TBR policies and proceduresExperience in an educational administrative settingKnowledge of federal and state employment lawsKnowledge, Skills, And AbilitiesAbility/willingness to maintain confidentiality.Ability to establish and maintain effective working relationships with the public and TBR employees.Communicates with all levels of institutional departments, interacting with faculty and staff to obtain or provide information.Ability to interpret and explain procedures and policies.Ability to evaluate and make decisions.Ability to prepare written procedures.Knowledge of MS Word, Excel required, and Power Point preferred.Willingness to meet job demands including overtime during peak periods.Pay Rate:$34,844-$41,813 Annual salary depending on eligible experience which is defined by the current compensation plan.Open Until Filled:Yes. For best consideration apply by September 13, 2024.Special Instructions To ApplicantsTo be considered for this position, you must submit an application. Prior applications will not be used to fill this vacancy.A completed satisfactory background check will be required before hire.","$34,844.00/yr - $41,813.00/yr"
Architectural Designer,Actalent,"Virginia Beach, VA",2 hours ago,"Job DescriptionActalent is hiring an Architectural Designer for a large A/E firm in their Virginia Beach office. The successful candidate will detail, organize, and coordinate technical designs to effectively execute architectural projects. The position requires spending 75% of the time in production and 25% in CA/Client facing scenarios.Job DescriptionWorking on 1-2 projects concurrently, with project teams on projects valued between $20-30 million, primarily focusing on base-building for municipal and federal projects, with a current emphasis on local DOD projectsPerforming basic architectural tasks such as calculations, specifications, and reports, and preparing/reviewing/approving drawings as needed.Independently performing advanced technical assignments of varying complexities within approved schedules and budgets under the supervision of the Supervising Architect.Coordinating technical and administrative activities with employees across disciplines and departments.Assisting in the training and mentoring of architectural and design/drafting personnel.Reviewing and approving conceptual designsContributing to the development of new architectural methods and techniques.Skills/QualificationsRevit proficiencyExperience in large commercial building designLicensed Architect with 4-6 years of experienceSoft SkillsAbility to organize and coordinate complex projectsStrong communication skillsMentoring and training abilitiesWork EnvironmentThe position is based at the VA Beach location office with a hybrid work schedule requiring presence in the office from Tuesday to Thursday.About ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.",Not provided
Vice President of Sales and Marketing,Prodigy,"Loveland, OH",7 hours ago,"DescriptionAbout Us:We are an innovative product development firm with a collaborative team that’s laser focused on creating the cutting-edge products that are driving the industries we serve forward. You’ll work with top talent in the fields of software, mechanical, and electrical engineering at a company that understands what you want out of your career. We provide the room to think creatively and learn from your colleagues. And we are genuinely interested in the personal and professional growth of our people, not just the bottom line.Role OverviewAs the VP of Sales and Marketing, you will be the driving force behind our revenue growth and market expansion. This role is 90% player and 10% coach, meaning you will be actively involved in closing deals, acquiring new clients, and driving sales, while also providing guidance and mentorship to your team.Key ResponsibilitiesStrategic Leadership:Develop and implement comprehensive sales and marketing strategies to achieve and exceed revenue targets.Identify and capitalize on new market opportunities and industry trends.Collaborate with the executive team to align sales and marketing strategies with overall company objectives.Sales ExecutionLead by example in managing the entire sales cycle from prospecting to closing deals.Conduct thorough needs analysis and present tailored solutions to prospective clients.Negotiate contracts and agreements to secure profitable deals.Maintain a high level of product and industry knowledge to effectively communicate the value of Prodigy’s offerings.Marketing LeadershipOversee the development and execution of marketing campaigns to drive brand awareness and lead generation.Utilize data-driven insights to refine marketing strategies and optimize ROI.Ensure consistent messaging and branding across all marketing channels.Team DevelopmentProvide mentorship and coaching to the sales and marketing teams, fostering a culture of high performance and continuous improvement.Set clear performance expectations and provide regular feedback to team members.Identify and address skill gaps within the team, facilitating professional development opportunities.Client Relationship ManagementBuild and maintain strong relationships with key decision-makers and stakeholders.Ensure customer satisfaction through regular follow-ups and effective communication.Act as a trusted advisor to clients, providing insights and solutions that meet their business needs.RequirementsQualifications:Bachelor’s degree in Business, Marketing, or a related field; MBA is a plus.15+ years of experience in sales and marketing, with a proven track record of achieving and exceeding targets.Extensive experience in B2B services sales, preferably within the engineering or technology sector.Strong negotiation, communication, and presentation skills.Ability to develop and maintain strong relationships with clients and internal teams.Strategic thinker with the ability to identify and capitalize on new business opportunities.Self-motivated, results-driven, and capable of working independently.Proficiency in CRM software (e.g., HubSpot, Salesforce).Why Join UsOpportunity to lead and shape the future of a growing company.Collaborative and innovative work environment.Competitive salary and benefits package.Professional growth and development opportunities.",Not provided
Fully Remote Pharmacy Technician,Actalent,"Raleigh, NC",2 hours ago,"Actalent is Hiring a Team of Pharmacy Technicians // Remote, 100% from Home!!Job DescriptionTrack and triage coverage determination requests submitted from providers and determine if a pharmacist review is required* Obtain verbal authorizations and request detailed clinical information from prescribers* Approve coverage determination requests based on defined criteria* Enter and document coverage determination request decision into the PBM system and notify providers and/or members* Respond to client inquiries regarding authorization approvals and PBM online applications* Refer coverage determination requests for specialty drugs to delegated vendor or client for processing* Contact providers for additional information to facilitate coverage determination reviews* Notify physicians, providers, and members of coverage determination request decisionsQualificationsRegistered Pharmacy Technician in your state.National Certification - PTCB OR NHA is preferred.At least 2 years of recent pharmacy technician experience.Prior Auhtorization experience.Previous positions in specialty pharmacy or remote roles preferred.Work EnvironmentRemote work from home // availability from 8am-8pm and rotating weekends as needed.About ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.",Not provided
Franchise Operations Manager,LMK Recruiting Solutions,"Richmond, VA",8 hours ago,"Operations ManagerLocation:Richmond, Virginia AreaCompany:LMK Recruiting Solutions isseeking a highly skilled and experienced Operations Manager to oversee and enhance operations in the Richmond, Virginia area. The ideal candidate will have a strong background in operational leadership within the environmental services sector and a proven ability to drive efficiency, safety, and profitability.Key Responsibilities:Oversee daily operations, ensuring compliance with company policies, safety regulations, and industry standardsLead, mentor, and develop a team of field and office staff, promoting a culture of continuous improvementManage budgets, optimize resources, and implement cost-saving initiativesCoordinate with upper management to develop and execute operational strategies that align with company goalsMonitor performance metrics, analyze data, and generate reports to drive informed decision-makingMaintain strong relationships with clients, vendors, and other stakeholders to ensure satisfaction and operational successQualifications:Bachelor’s degree in Business, Operations Management, or a related fieldMinimum of 5 years of experience in an operational leadership role, preferably within the environmental services industryStrong leadership, communication, and problem-solving skillsAbility to manage multiple projects and priorities in a fast-paced environmentKnowledge of regulatory requirements and best practices in the environmental services sectorProficiency in operational software and toolsBenefits:Competitive salary and performance-based bonusesComprehensive benefits package, including health, dental, and retirement plansOpportunities for professional growth and advancementPowered by JazzHRZVvsQ6WlHB",Not provided
LCP (Remote),WorkatHome-JobBoard,"Virginia, IL",6 hours ago,"Remote Licensed Clinical PsychologistWage: Between $90-$174 an hourAre you a Licensed Clinical Psychologist looking to launch a private practice, or grow your existing practice? Headway can help you earn more through insurance!Headway supports thousands of mental health clinicians across the United States in our mission to rewire the mental healthcare system for access and affordability. We equip mental health practitioners with the tools and resources they need to run a flourishing private practice.Mental health clinicians use Headway in a number of ways, ranging from conducting psychotherapy sessions with patients to providing and overseeing medication management. Whether you're new to private practice or already have an established practice of your own, we're excited to support you in reaching your goals!By Joining The Headway Community, We'll Help YouAccept insurance hassle-free by credentialing you with the nation's largest networks and handling the billing and admin paperwork for you.Maintain a flexible schedule by deciding how many clients you see through Headway, so that you can set the hours that work for you.Grow your caseload by providing marketing support and patient referrals.We'll also support your patients byProviding customized support to clinicians and patients in order to streamline the process of both seeking and providing care.Verifying client insurance benefits instantly and automatically, so that access to care is never delayed, and you can see your patients with confidence.And we do thiscompletely free of charge to you!Headways is a flexible service, meaning your hours are yours to set, and it's up to you whether you see your patients in-person or remotely via telehealth while working from home.We accept the following licenses on a state by state basis:PSYPSYPPsyDReady to get started?We Are Excited To Begin Helping You If You Are a Fully-licensed Clinical Psychologist At a Master's Level Or Above WithA valid NPI numberMalpractice insurancePlease note, at this time, we are unable to service mental health professionals that are not fully licensed. Your application will be rejected until you obtain a valid license.Not sure if you're qualified to work with us? Send in your application and our team will do our best to help.",Not provided
CAD Drafter (ENTRY LEVEL),Actalent,"Exton, PA",2 hours ago,"ENTRY LEVEL!Applicants must be able to work on site Monday-Friday in Exton, PA. Hours are 7:30am-4:00pm.Great opportunity to get into the drafting/design industry! CAD Drafters will get 100% on the job training for the first 1-2 weeks. After the training period, the CAD Drafter will be put on a team lead by a QC Specialist, and will be responsible for doing AutoCAD or MicroStation drafting work!Job Responsibilities & Requirements:High School diploma or completed GEDExperience using CAD to some extent, or interest in learningDesire to work in a drafting role long-termOpen to learning new softwareAbility to work in a fast-paced environmentAssociate's Degree or certificate in CAD is a bonusExperience with ESRI ArcGIS is a bonusAbout ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.",Not provided
Pharmacy Technician (Remote),Actalent,"Orlando, FL",2 hours ago,"Actalent is hiring fully remote Pharmacy Technicians!Job DescriptionSeeking certified Pharmacy Technicians in Florida to review Prior Authorizations and make initial determinations for a Pharmacy Services department within a large healthcare insurance company. Technicians will either approve or deny requests and then forward them to a Pharmacist for final review. Responsibilities include processing prescription exceptions, resolving claim rejects, member and physician outreach, entering member demographics and prescription information into the data processing system, and resolving insurance billing issues or escalated member issues. Technicians will escalate prescription-related questions to a Pharmacist for interpretation or guidance on processing, and assist with inbound and/or outbound patient or physician calls.Hard SkillsCertified Pharmacy TechnicianRegistered Pharmacy TechnicianStrong Computer SkillsBasic Computer SkillsSoft SkillsAbility to work remotely with strong WiFi and personal office spaceFlexibility to work variable shifts including weekends and some holidaysWork SiteThis is a fully remote position and the hours will fall between 8am-8pm EST.About ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.",Not provided
Business Process Engineer (Business Analyst),GD Resources,"Crownsville, MD",8 hours ago,"""Join GD Resources for dynamic opportunities in business management and IT, where innovation meets excellence.""GD Resources LLC is a Veteran Women-Owned Business Management and Information Technology company committed to excellence. We offer dynamic opportunities for veterans and professionals alike to contribute to innovative projects and drive success in a collaborative and supportive environment. Join us in making a difference and advancing your career with a company that values integrity, diversity, and continuous growth.Job Title:Business AnalystLocation:Community Place Crownsville, MD. 21032 In-person/ Telework, HybridType: W-2, C2CRate: 45 - 60/ hourBenefitsBackground:The Department of Information Technology (DoIT) is seeking a skilled Business Process Engineer to support our data services organization. The ideal candidate will have a strong background in optimizing business processes, streamlining workflows, and enhancing operational efficiency. This individual will play a key role in analyzing our current processes, identifying areas for improvement, and implementing strategic solutions to drive productivity and performance.Duties/Responsibilities:Conduct comprehensive assessments of existing business processes to identify inefficiencies, bottlenecks, and areas for improvementCollaborate with cross-functional teams to gather requirements, analyze workflows, and develop solutions that align with organizational objectivesDesign and implement streamlined processes, procedures, and workflows to optimize efficiency and productivityUtilize industry best practices and methodologies (e.g., Lean Six Sigma) to drive continuous process improvement initiativesDevelop clear documentation, including process maps, standard operating procedures (SOPs), and training materials, to ensure effective knowledge transfer and implementationWork closely with stakeholders to facilitate change management efforts and ensure successful adoption of new processesMonitor and evaluate process performance metrics to track improvements and identify further optimization opportunitiesProvide guidance, training, and support to project teams throughout the process improvement lifecycleEducation:Bachelor’s Degree from an accredited college or university with a major in Business, Human Resources Management, or a related field. MBA preferredRequired Experience:At least eight plus (8+) years of IT and business experience in business process engineeringAt least 5 years in a combination of the following: business process improvement, process analysis and design, data analysis and interpretation, business operations, and process managementSpecific experience with successful engagements within a cross-functional environmentExcellent analytical, verbal, problem-solving, and communication skillsStrong leadership and collaboration skillsAbility to analyze data and make recommendations for improvementStrong understanding of business operations and processesExperience with business process management software and toolsPrior domain industry experience at a state or federal government agency is preferredPreferred Experience:Knowledge of state government policies and practices is preferredPowered by JazzHRwcZTWjkPbr",Not provided
CAD Drafter (ENTRY LEVEL),Actalent,"Mansfield, MA",2 hours ago,"ENTRY LEVEL!Applicants must be able to work on site Monday-Friday in Mansfield, MA. Hours are 7:30am-4:00pm.Great opportunity to get into the drafting/design industry! CAD Drafters will get 100% on the job training for the first 1-2 weeks. After the training period, the CAD Drafter will be put on a team lead by a QC Specialist, and will be responsible for doing AutoCAD or MicroStation drafting work!Job Responsibilities & Requirements:High School diploma or completed GEDExperience using CAD to some extent, or interest in learningDesire to work in a drafting role long-termOpen to learning new softwareAbility to work in a fast-paced environmentAssociate's Degree or certificate in CAD is a bonusExperience with ESRI ArcGIS is a bonusAbout ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.",Not provided
Data Entry Representative - Remote,A Hiring Company,"Denver, CO",2 hours ago,"We are seeking a detail-oriented and organized Data Entry Representative to join our team. The ideal candidate will be responsible for accurately entering and managing data across various platforms and ensuring it meets our quality standards. If you have a passion for data accuracy and enjoy working in a fast-paced environment, we would love to hear from you!Responsibilities:Accurately input, update, and maintain data in our systems and databases.Perform data verification and quality checks to ensure accuracy and consistency.Assist with data cleanup and organization, identifying discrepancies and resolving issues as needed.Ensure timely completion of data entry tasks while meeting established deadlines.Collaborate with other departments to obtain and clarify information as necessary.Generate and maintain reports to track data integrity and entry metrics.Follow best practices for data entry and adhere to company policies regarding data privacy and security.Participate in training sessions to improve data management practices and software use.Qualifications:High school diploma or equivalentProven experience in data entry or a similar administrative role is preferred.Strong attention to detail and a commitment to accuracy.Proficiency in Microsoft Office Suite (especially Excel) and experience with data management software.Excellent typing skills with a high level of speed and accuracy.Strong organizational skills and ability to prioritize tasks effectively.Good communication skills, both written and verbal.Ability to work independently and as part of a team.Benefits:Competitive salary and benefits package.Opportunities for professional development and career advancement.A supportive and collaborative work environment.Flexible working hours and the possibility of remote work.",Not provided
"WDI Show Writing & Story Development Intern, Spring 2025",Walt Disney Imagineering,"Lake Buena Vista, FL",4 hours ago,"Walt Disney Imagineering is the creative force that imagines, designs and brings to life all Disney theme parks, resorts, attractions and cruise ships worldwide. Working across a spectrum of teams that range from creative and conceptual to scientific and technical, we blend an innovative mixture of storytelling, art, science and technology to create immersive experiences, memorable destinations, and innovative entertainment for families around the globe!What You Will DoWe are looking for a Show Writing & Story Development Intern who is interested in working within the department responsible for composing story experiences on the attraction, land, resort level, by establishing themes, generating high concepts and putting together written outlines, treatments, scripts in collaboration with project teams, with the ultimate objective to solve business problems and entertain and encourage/inspire the Disney guest. We are looking for someone that will brainstorm within show teams and support the senior story development team to help flesh out the story of a ride, environmental and/or media based attraction, restaurant, shop, or other facility.Responsibilities:As an intern on the team, you will have the opportunity to…Generate story ideas developing them through research, outline, treatment, final script and SIGs under the supervision of a senior member of the team.Assist projects through research; coordinating brainstorming sessions; putting together mood/idea boards; capturing and distributing meeting notes.Brainstorm within show teams, generate notes from writers room sessions to support the team's interactive process.The Show Writing Intern may also help develop nomenclature and sign copy for supporting show and operational graphics, operational spiels, safety and show dialogue, and may include language translation.Proofreading documents including detecting and correcting grammatical, typographical and nomenclature errors.Assists with research or performs research for senior story development partners.Support company-wide internal and external communications.Required Qualifications & SkillsExcellent written and verbal communication skills with the capability to work in a collaborative team environmentAbility to prioritize and to balance multiple projects at once.Ability to work under tight deadlines, while maintaining individual creative integrity; communicating effectively at all levels in all areas!Complete proficiency in Microsoft Word, Excel, Final Draft and Keynote.Ability to research visual and written archival resources.Valid Driver’s License Required.Preferred QualificationsExperience as a staff writer and/or writer’s assistant in the entertainment industryDisney Theme Park experienceWorking knowledge of audio/video productionLanguage proficiency in a language in addition to English (such as written and colloquial Mandarin Chinese, Japanese, French, Cantonese and/or Spanish)Required EducationCurrently enrolled as a Junior or higher, or graduated within 6 months of the start date of this internship, in an accredited college/university, earning a Bachelor’s degree in Creative Writing, Playwriting, Screen Writing, Journalism, Communications, or a related field.Eligibility Requirements & Program InformationCandidates for this opportunity MUST meet all of the below requirements:Be enrolled in an accredited college/university taking at least one class in the semester/quarter (spring/fall) prior to participation in the internship program OR must have graduated from a college/university within 6 months at time of application posting OR currently participating in a Disney College Program or Disney Internship.Be at least 18 years of ageHave not completed one year of continual employment on a Disney internship or program.Possess unrestricted work authorizationHave reliable transportation to/from workAdditional InformationThis internship is located in Orlando, FLThe approximate dates of this internship are January through June 2025We provide limited housing opportunities for Florida Based Professional Interns through American Campus Communities, for more information click hereMust have reliable transportation to/from workMaterials RequiredA writing sample is required for this position. For full consideration, please include a link to your writing sample on your résumé. Applicants without a writing sample link on their résumé, will not be considered a completed application packet and may not be fully considered for the position. Samples must be previously published or created for coursework; no theme park idea submittals will be accepted. Sample writing assignment will be given as part of interview process.",Not provided
LMFT (Remote),WorkatHome-JobBoard,"Virginia Beach, VA",6 hours ago,"Remote Licensed Marriage and Family Therapist (LMFT)Wage: Between $90-$127 an hourAre you a Licensed Marriage and Family Therapist looking to launch a private practice, or grow your existing practice? Headway can help you earn more through insurance!Headway supports thousands of mental health clinicians across the United States in our mission to rewire the mental healthcare system for access and affordability. We equip mental health practitioners with the tools and resources they need to run a flourishing private practice.Mental health clinicians use Headway in a number of ways, ranging from conducting psychotherapy sessions with patients to providing and overseeing medication management. Whether you're new to private practice or already have an established practice of your own, we're excited to support you in reaching your goals!By Joining The Headway Community, We'll Help YouAccept insurance hassle-free by credentialing you with the nation's largest networks and handling the billing and admin paperwork for you.Maintain a flexible schedule by deciding how many clients you see through Headway, so that you can set the hours that work for you.Grow your caseload by providing marketing support and patient referrals.We'll also support your patients byProviding customized support to clinicians and patients in order to streamline the process of both seeking and providing care.Verifying client insurance benefits instantly and automatically, so that access to care is never delayed, and you can see your patients with confidence.And we do thiscompletely free of charge to you!Headways is a flexible service, meaning your hours are yours to set, and it's up to you whether you see your patients in-person or remotely via telehealth while working from home.We accept the following licenses on a state by state basis:LMFTLMFTSLCMFTReady to get started?We Are Excited To Begin Helping You If You Are a Fully-licensed Marriage And Family Therapist At a Master's Level Or Above WithA valid NPI numberMalpractice insurancePlease note, at this time, we are unable to service mental health professionals that are not fully licensed. Your application will be rejected until you obtain a valid license.Not sure if you're qualified to work with us? Send in your application and our team will do our best to help.",Not provided
